strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Swing_SR,XAUUSD,H1,46,56.52,-4.65,-9.16,-0.5057,-1.2173,-14.25,0.88,0.7821,1.6955,9534.83
Swing_SR,USDJPY,H4,12,58.33,-2.19,-4.35,-0.5089,-13.9759,-7.41,0.79,0.5843,0.614,9780.62
MACD,XRPUSD,H4,79,37.97,-6.53,-12.61,-0.5115,-0.9779,-29.02,0.91,3.239,2.2595,9347.12
Bollinger,XAUUSD,D1,6,66.67,-0.15,-0.31,-0.5152,-35.8354,-2.14,0.96,2.1865,4.4624,9984.77
Bollinger,USDJPY,D1,5,40.0,-2.24,-4.44,-0.5378,-0.4815,-5.26,0.67,0.9904,1.1857,9776.15
RSI,USDJPY,D1,4,25.0,-2.14,-4.24,-0.5392,-3094.1384,-2.05,0.54,1.5953,0.504,9786.47
Swing_SR,XAGUSD,H1,44,54.55,-5.69,-11.15,-0.5537,-0.4781,-16.16,0.84,2.2714,2.2739,9430.85
Bollinger,LTCUSD,H4,64,46.88,-9.17,-17.48,-0.5549,-0.8355,-19.4,0.86,2.738,2.7155,9082.52
Swing_SR,USDCHF,H1,50,58.0,-5.12,-10.01,-0.5681,-1.2862,-13.14,0.88,0.2525,0.3891,9487.95
MACD,GBPUSD,D1,11,45.45,-1.72,-3.42,-0.602,-0.8716,-5.97,0.84,0.9211,0.8997,9827.97
EMA_Cross,XAGUSD,H4,34,35.29,-8.1,-15.59,-0.6063,-0.617,-18.48,0.77,5.1027,3.2263,9190.1
Stochastic,EURJPY,H4,57,49.12,-7.65,-14.76,-0.6083,-1.1791,-12.19,0.87,0.3582,0.393,9234.83
Parabolic_SAR,EURAUD,H4,78,39.74,-9.31,-17.81,-0.6116,-0.9335,-17.61,0.87,0.4521,0.343,9068.81
Bollinger,ETHUSD,D1,9,44.44,-3.29,-6.45,-0.6245,-31.7184,-4.31,0.68,8.4263,7.1601,9671.32
Swing_SR,XRPUSD,H1,68,60.29,-7.34,-14.12,-0.6375,-1.0535,-11.2,0.86,1.4423,2.5337,9265.87
MACD,NZDJPY,H4,64,35.94,-8.83,-16.94,-0.6419,-0.7343,-18.36,0.85,0.6081,0.4057,9116.57
Parabolic_SAR,AUDUSD,H4,68,41.18,-8.77,-16.83,-0.6455,-1.1031,-20.2,0.87,0.7069,0.5229,9122.84
RSI,GBPUSD,H1,80,48.75,-10.03,-19.12,-0.6478,-0.8642,-22.41,0.87,0.2265,0.2294,8996.68
MACD,LTCUSD,H4,86,39.53,-9.52,-18.1,-0.6487,-0.8132,-26.19,0.88,2.8829,1.9127,9047.93
Bollinger,USDCHF,D1,7,42.86,-2.63,-5.2,-0.6625,-96.224,-4.02,0.68,1.2048,1.166,9737.33
Stochastic,ETHUSD,D1,12,41.67,-4.32,-8.44,-0.6757,-31.7935,-9.04,0.69,8.4468,7.8915,9567.89
Stochastic,XAGUSD,H4,57,43.86,-9.09,-17.4,-0.6886,-2.4593,-15.18,0.85,5.5295,3.8856,9091.45
Swing_SR,AUDUSD,H4,22,54.55,-3.79,-7.45,-0.7147,-0.7564,-9.56,0.8,0.7073,1.111,9621.45
